nMsg,Date,Time
1,30-09-2013,19:49:57
2,30-09-2013,19:49:58
3,30-09-2013,19:49:58
4,30-09-2013,19:49:58
5,30-09-2013,19:49:58
6,30-09-2013,19:49:58
7,30-09-2013,19:49:59
8,30-09-2013,19:49:59
9,30-09-2013,19:49:59
10,30-09-2013,19:49:59
11,30-09-2013,19:49:59
12,30-09-2013,19:50:00
13,30-09-2013,19:50:00
14,30-09-2013,19:50:00
15,30-09-2013,19:50:00
16,30-09-2013,19:50:01
17,30-09-2013,19:50:01
18,30-09-2013,19:50:01
19,30-09-2013,19:50:01
20,30-09-2013,19:50:01
21,30-09-2013,19:50:02
22,30-09-2013,19:50:02
23,30-09-2013,19:50:02
24,30-09-2013,19:50:02
25,30-09-2013,19:50:02
26,30-09-2013,19:50:06
27,30-09-2013,19:50:12
28,30-09-2013,19:50:12
29,30-09-2013,19:50:13
30,30-09-2013,19:50:13
31,30-09-2013,19:50:13
32,30-09-2013,19:50:14
33,30-09-2013,19:50:14
34,30-09-2013,19:50:14
35,30-09-2013,19:50:14
36,30-09-2013,19:50:14
37,30-09-2013,19:50:15
38,30-09-2013,19:50:15
39,30-09-2013,19:50:15
40,30-09-2013,19:50:15
41,30-09-2013,19:50:15
42,30-09-2013,19:50:15
43,30-09-2013,19:50:16
44,30-09-2013,19:50:16
45,30-09-2013,19:50:16
46,30-09-2013,19:50:16
47,30-09-2013,19:50:16
48,30-09-2013,19:50:17
49,30-09-2013,19:50:17
50,30-09-2013,19:50:17
51,30-09-2013,19:50:17
52,30-09-2013,19:50:18
53,30-09-2013,19:50:18
54,30-09-2013,19:50:18
55,30-09-2013,19:50:19
56,30-09-2013,19:50:22
57,30-09-2013,19:50:27
58,30-09-2013,19:50:28
59,30-09-2013,19:50:28
60,30-09-2013,19:50:29
61,30-09-2013,19:50:29
62,30-09-2013,19:50:29
63,30-09-2013,19:50:29
64,30-09-2013,19:50:30
65,30-09-2013,19:50:30
66,30-09-2013,19:50:30
67,30-09-2013,19:50:30
68,30-09-2013,19:50:32
69,30-09-2013,19:50:32
70,30-09-2013,19:50:32
71,30-09-2013,19:50:32
72,30-09-2013,19:50:32
73,30-09-2013,19:50:33
74,30-09-2013,19:50:33
75,30-09-2013,19:50:33
76,30-09-2013,19:50:37
77,30-09-2013,19:50:43
78,30-09-2013,19:50:43
79,30-09-2013,19:50:44
80,30-09-2013,19:50:44
81,30-09-2013,19:50:44
82,30-09-2013,19:50:45
83,30-09-2013,19:50:45
84,30-09-2013,19:50:45
85,30-09-2013,19:50:45
86,30-09-2013,19:50:45
87,30-09-2013,19:50:46
88,30-09-2013,19:50:46
89,30-09-2013,19:50:46
90,30-09-2013,19:50:46
91,30-09-2013,19:50:46
92,30-09-2013,19:50:47
93,30-09-2013,19:50:47
94,30-09-2013,19:50:47
95,30-09-2013,19:50:47
96,30-09-2013,19:50:47
97,30-09-2013,19:50:47
98,30-09-2013,19:50:48
99,30-09-2013,19:50:48
100,30-09-2013,19:50:48
101,30-09-2013,19:50:48
102,30-09-2013,19:50:48
103,30-09-2013,19:50:49
104,30-09-2013,19:50:49
105,30-09-2013,19:50:52
106,30-09-2013,19:50:58
107,30-09-2013,19:50:58
108,30-09-2013,19:50:59
109,30-09-2013,19:51:00
110,30-09-2013,19:51:00
111,30-09-2013,19:51:00
112,30-09-2013,19:51:00
113,30-09-2013,19:51:00
114,30-09-2013,19:51:01
115,30-09-2013,19:51:01
116,30-09-2013,19:51:01
117,30-09-2013,19:51:01
118,30-09-2013,19:51:01
