msgNo,timeDiff
1,0.300812483
2,0.901572943
3,1.39262557
4,0.550851822
5,0.725507975
6,0.890783787
7,1.001746416
8,1.196054459
9,1.387002945
10,1.582144976
11,1.855574131
12,1.080090761
13,1.238319159
14,1.458097219
15,1.676412344
16,1.942494392
17,2.085373402
18,2.283130646
19,2.57834816
20,2.809984684
21,2.014923573
22,2.242797375
23,2.428956985
24,2.65747118
25,2.772842407
26,6.519841671
27,11.9213202
28,12.6065073
29,13.12983918
30,13.64058948
31,12.77001476
32,12.92383313
33,13.17462015
34,13.33384919
35,13.56889582
36,13.85987306
37,14.00897527
38,14.14991307
39,13.29596663
40,13.48232484
41,13.66100979
42,13.8064487
43,13.99418926
44,14.16000104
45,14.34808326
46,13.6459415
47,10.8637166
48,5.088222504
49,5.314459801
50,4.566833496
51,4.794676781
52,4.99320364
53,5.212533236
54,5.474783182
55,6.128833055
56,8.348113775
57,13.60141158
58,14.21053147
59,14.7938416
60,15.27783751
61,15.51193929
62,15.69853282
63,15.89465785
64,16.12716198
65,16.32950306
66,15.55434132
67,15.85256839
68,16.53249741
69,17.18418074
70,17.36748791
71,17.63755465
72,17.85189104
73,18.08064818
74,18.31144285
75,18.49333024
76,21.76727724
77,27.0775702
78,27.84847426
79,28.39463401
80,28.53903413
81,28.7757206
82,28.96178842
83,29.15841293
84,29.33823371
85,28.5614872
86,28.71300149
87,28.91540074
88,29.10379028
89,29.24892497
90,29.52655864
91,29.75086951
92,29.92315984
93,30.10125804
94,30.24674296
95,29.4209671
96,29.53210163
97,29.70940924
98,29.85395384
99,30.10113668
100,28.30255055
101,24.54792356
102,20.72010517
103,20.91739082
104,21.10290861
105,23.38016462
106,29.12008977
107,29.87169218
108,30.47028422
109,30.95860529
110,31.26974773
111,31.50404739
112,31.73776507
113,31.87209249
114,31.01819706
115,31.2299819
116,31.51937509
117,31.74391985
118,31.85293627
119,32.0487206
120,32.23255372
121,32.39021087
122,31.59169483
123,31.8072989
124,32.08607888
125,32.23258567
126,32.40792966
127,32.55383921
128,32.77446318
129,32.94933558
130,33.04831052
131,33.26826286
132,33.38769937
133,32.56048441
134,32.83000135
135,35.64434171
136,41.8980267
137,42.58624053
138,43.12200952
139,43.6719346
140,43.90690279
141,44.0857451
142,44.28638625
143,44.48302293
144,43.67537665
145,43.88202381
146,44.1242578
147,44.31681728
148,44.44824433
149,43.59821081
150,40.80191517
151,35.98379397
152,35.22422695
153,34.41628718
154,34.63208842
155,34.9490006
156,35.13976622
157,35.35046649
158,35.56215692
159,37.60737658
160,42.12422276
161,44.35565805
162,44.97774911
163,45.48790383
164,45.74921083
165,45.89468002
166,46.11427832
167,46.31530571
168,46.5412569
169,45.7223382
170,45.93501616
171,46.08932233
172,46.27223063
173,46.46235442
174,46.66046023
175,46.80583572
176,46.92550111
177,47.23288131
178,47.42565179
179,46.66393757
180,46.91697955
181,47.07241392
182,47.3078897
183,47.47474146
184,47.64944911
185,47.87115741
186,51.65384245
187,56.98035049
188,57.61842322
189,57.19099164
190,57.68698096
191,57.80003738
192,57.90209556
193,58.0905807
194,58.26874518
195,59.40669918
196,61.02979368
197,61.03964816
198,61.02705001
199,56.86418962
200,53.10905051
201,53.35994506
202,54.79421568
203,58.32142305
204,61.03575496
205,61.0230154
206,61.0314422
207,61.03974791
208,61.04366159
209,61.04630184
210,61.04982531
211,61.05318816
212,61.0562183
213,61.06026708
214,61.04735484
215,61.05055251
216,61.05374779
217,61.05693622
218,61.06015033
219,61.06425016
220,61.06696079
221,61.06999687
222,61.07624959
223,61.07985816
224,61.06643808
225,61.06905072
226,61.10287922
227,61.18986329
228,61.27927911
229,61.29040965
230,61.30081447
231,61.30527109
232,61.3079574
233,61.3106144
234,61.2971411
235,61.30110159
236,61.30503409
237,61.30787432
238,61.31107328
239,61.3137117
240,61.31665081
241,61.3189422
242,61.32149988
243,61.30773156
244,61.31234054
245,61.31658157
246,61.31961562
247,61.32261326
248,61.32695292
249,61.33505001
250,61.39798735
251,61.45573741
252,61.38319014
253,61.34119755
254,61.33308692
255,61.33685385
256,61.33870345
257,61.34236322
258,61.34416577
259,61.34785716
260,61.33355428
261,61.33668928
262,61.3410887
263,61.35010957
264,61.35284466
265,61.35563567
266,61.36007465
267,61.36621803
268,61.3706786
269,61.35673629
270,61.35982677
271,61.36333743
272,61.36679032
273,61.3694235
274,61.3737602
275,61.3779188
276,61.38149193
277,61.42752786
278,61.51385968
279,61.52387786
280,61.53357959
281,61.54247736
282,61.54534039
283,61.54938471
284,61.55174866
285,61.55516634
286,61.55919227
287,61.56754127
288,61.5709548
289,61.55659714
290,61.56478953
291,61.56950235
292,61.57332666
293,61.57648298
294,61.58137551
295,61.51799062
296,61.437401
297,61.42547815
298,61.42867047
299,61.41546778
300,61.41862893
301,61.42336386
302,61.48538084
303,61.57581843
304,61.56958776
305,61.57812644
306,61.58714472
307,61.59048442
308,61.59441001
309,61.59760013
310,61.60020005
311,61.6028146
312,61.60749418
313,61.6143561
314,61.61913419
315,61.60589459
316,61.60825153
317,61.61368743
318,61.61813835
319,61.62270349
320,61.62593958
321,61.62940599
322,61.63231329
323,61.63521705
324,61.63922112
325,61.62636175
326,61.62914906
327,61.63225865
328,61.63538005
329,61.63821754
330,61.64104767
331,61.64424814
332,61.64767121
333,61.651189
334,61.65671916
335,61.7014268
336,61.79265038
337,61.80523253
338,61.8131863
339,61.82109566
340,61.82411374
341,61.82699569
342,61.83012405
343,61.81653804
344,61.75229566
345,61.67193463
346,61.67526815
347,61.67803916
348,61.66411521
349,61.66709795
350,61.66964977
351,61.67280105
352,61.67806232
353,61.6848784
354,61.67293966
355,61.67796592
356,61.68341257
357,61.68673509
358,61.68979584
359,61.69213634
360,61.70447365
361,61.7685664
362,61.83860565
363,61.85026027
364,61.85961237
365,61.86786584
366,61.87143431
367,61.87444727
368,61.87808074
369,61.88149278
370,61.88463868
371,61.8877482
372,61.87435301
373,61.87893963
374,61.88240143
375,61.88609515
376,61.89146557
377,61.89779502
378,61.9012501
379,61.90599472
380,61.91046505
381,61.91597754
382,61.90245729
383,61.90697317
384,61.91125039
385,61.91420973
386,61.91737696
387,61.92056481
388,61.92416538
389,61.97070599
390,62.07361465
391,62.0675255
392,62.07668185
393,62.07951807
394,62.08734154
395,62.0895912
396,62.09195718
397,62.09487128
398,62.09730604
399,62.10137755
400,62.08900662
401,62.09454635
402,62.0804344
403,62.00079787
404,61.93704763
405,61.94001821
406,61.94300464
407,61.93046862
408,61.93515722
409,61.93848676
410,61.94465564
411,61.95028243
412,61.95328408
413,61.95683019
414,61.94325527
415,61.94688826
416,61.94992865
417,61.953695
418,61.95702091
419,61.96059862
420,61.96368417
421,61.9675274
422,62.02984849
423,62.11874239
424,62.11289977
425,62.12272343
426,62.13100588
427,62.13363605
428,62.13732754
429,62.14011271
430,62.14358277
431,62.14570525
432,62.14828944
433,62.15140091
434,62.13785412
435,62.1410952
436,62.14380297
437,62.1517401
438,62.15554232
439,62.15986657
440,62.16410441
441,62.16768805
442,62.17061057
443,62.17381001
444,62.16073938
445,62.16405599
446,62.16751043
447,62.2238209
448,62.31828257
449,62.33005191
450,62.33911821
451,62.34737726
452,62.33460865
453,62.33714603
454,62.36606687
455,62.38552277
456,62.388142
