Date,DateCode,RealWorldPV,ScaledPV
1/1/2012,d0101,8893755115,4446
1/2/2012,d0201,7083350126,3541
1/3/2012,d0301,7816750000,3908
1/4/2012,d0401,7168764610,3584
1/5/2012,d0501,7831810361,3915
1/6/2012,d0601,8433193713,4216
1/7/2012,d0701,8490093639,4245
1/8/2012,d0801,8725738922,4362
1/9/2012,d0901,7144186940,3572
1/10/2012,d1001,8496253455,4248
1/11/2012,d1101,8763677510,4381
1/12/2012,d1201,7704645724,3852
1/13/2012,d1301,7322717517,3661
1/14/2012,d1401,7172523817,3586
1/15/2012,d1501,7592417909,3796
1/16/2012,d1601,7616512080,3808
1/17/2012,d1701,7226486890,3613
1/18/2012,d1801,7147199935,3573
1/19/2012,d1901,8131894512,4065
1/20/2012,d2001,7919173088,3959
1/21/2012,d2101,7190990219,3595
1/22/2012,d2201,8014284816,4007
1/23/2012,d2301,8464845768,4232
1/24/2012,d2401,8927293607,4463
1/25/2012,d2501,7053442622,3526
1/26/2012,d2601,7648036845,3824
1/27/2012,d2701,8305438179,4152
1/28/2012,d2801,7101293363,3550
1/29/2012,d2901,7486030242,3743
1/30/2012,d3001,7685795303,3842
1/31/2012,d3101,7375796402,3687
2/1/2012,d0102,8607428505,4303
2/2/2012,d0202,7022116114,3511
2/3/2012,d0302,8336572404,4168
2/4/2012,d0402,8059487567,4029
2/5/2012,d0502,8660333734,4330
2/6/2012,d0602,8446173414,4223
2/7/2012,d0702,7903259327,3951
2/8/2012,d0802,7176787354,3588
2/9/2012,d0902,8614836670,4307
2/10/2012,d1002,7712551195,3856
2/11/2012,d1102,7328900385,3664
2/12/2012,d1202,8609408167,4304
2/13/2012,d1302,7014061311,3507
2/14/2012,d1402,8380527439,4190
2/15/2012,d1502,8204136424,4102
2/16/2012,d1602,7858766025,3929
2/17/2012,d1702,7219360319,3609
2/18/2012,d1802,8279855271,4139
2/19/2012,d1902,7491474400,3745
2/20/2012,d2002,7086272938,3543
2/21/2012,d2102,7548305632,3774
2/22/2012,d2202,7489151334,3744
2/23/2012,d2302,7312008680,3656
2/24/2012,d2402,7165783129,3582
2/25/2012,d2502,7043126797,3521
2/26/2012,d2602,7584626746,3792
2/27/2012,d2702,8942862929,4471
2/28/2012,d2802,8238720391,4119
2/29/2012,d2902,8510276995,4255
3/1/2012,d0103,7945546050,3972
3/2/2012,d0203,8814094380,4407
3/3/2012,d0303,7603547440,3801
3/4/2012,d0403,8116857188,4058
3/5/2012,d0503,7122538832,3561
3/6/2012,d0603,7263489990,3631
3/7/2012,d0703,7555443596,3777
3/8/2012,d0803,8553439723,4276
3/9/2012,d0903,7586650911,3793
3/10/2012,d1003,7169094842,3584
3/11/2012,d1103,7023853523,3511
3/12/2012,d1203,8035126732,4017
3/13/2012,d1303,7901131037,3950
3/14/2012,d1403,7720499298,3860
3/15/2012,d1503,7058137003,3529
3/16/2012,d1603,7119476811,3559
3/17/2012,d1703,7100123016,3550
3/18/2012,d1803,7712540327,3856
3/19/2012,d1903,8552028684,4276
3/20/2012,d2003,8988345529,4494
3/21/2012,d2103,8368385705,4184
3/22/2012,d2203,8692636438,4346
3/23/2012,d2303,8390648508,4195
3/24/2012,d2403,8390345718,4195
3/25/2012,d2503,7695203421,3847
3/26/2012,d2603,7456563698,3728
