AgentID	Geography	Age	Gender	Alpha	Beta	Bid	Utility	Budget
1	US	15-20	M	2	5	5.483126548	0	4065
2	US	15-20	M	5	4	10.21902785	0	8833
3	US	15-20	M	5	2	18.49952236	0	4901
4	US	15-20	M	2	3	11.75727196	0	9779
5	US	15-20	M	2	2	1.551021857	0	6805
6	US	15-20	M	1	2	2.877868467	0	3814
7	US	15-20	M	3	3	10.98781381	0	2051
8	US	15-20	M	2	3	4.883556827	0	4442
9	US	15-20	M	2	4	4.001596958	0	2045
10	US	15-20	M	2	4	25.68339332	0	9498
11	US	15-20	M	4	3	14.11596074	0	2768
12	US	15-20	M	3	5	4.720948665	0	6676
13	US	15-20	M	3	4	12.03601807	0	9521
14	US	15-20	M	3	4	21.62866273	0	3493
15	US	15-20	M	1	1	0.603521167	0	8754
16	US	15-20	M	5	5	15.5835034	0	8469
17	US	15-20	M	1	1	0.785245252	0	9151
18	US	15-20	M	4	4	24.73061531	0	2379
19	US	15-20	M	3	3	12.3076817	0	3897
20	US	15-20	M	5	4	18.9006684	0	5279
21	US	15-20	M	4	1	3.158941795	0	4719
22	US	15-20	M	4	4	13.99713669	0	3644
23	US	15-20	M	1	5	8.780144618	0	9736
24	US	15-20	M	4	5	13.77578343	0	7999
25	US	15-20	M	5	3	5.690070998	0	8467
26	US	15-20	M	3	5	15.60511043	0	5506
27	US	15-20	M	1	3	5.983620872	0	4038
28	US	15-20	M	3	1	1.473549466	0	6440
29	US	15-20	M	3	1	4.033292707	0	1796
30	US	15-20	M	4	4	17.06444294	0	8514
31	US	15-20	M	5	2	10.10019048	0	1935
32	US	15-20	F	4	2	8.985725028	0	9477
33	US	15-20	F	3	1	2.612362295	0	9491
34	US	15-20	F	1	1	0.929261664	0	5943
35	US	15-20	F	1	2	1.303287441	0	6683
36	US	15-20	F	4	3	5.646981431	0	6694
37	US	15-20	F	3	3	22.48792226	0	2028
38	US	15-20	F	5	1	4.558216644	0	1733
39	US	15-20	F	4	4	16.24206448	0	2926
40	US	15-20	F	2	2	1.764570639	0	9988
41	US	15-20	F	5	1	8.682817719	0	3030
42	US	15-20	F	2	2	2.248226706	0	6038
43	US	15-20	F	2	1	2.065622283	0	1395
44	US	15-20	F	4	4	18.88883711	0	9331
45	US	15-20	F	1	5	13.97843379	0	2009
46	US	15-20	F	4	1	2.324374281	0	8711
47	US	15-20	F	4	4	48.89344992	0	7044
48	US	15-20	F	4	2	6.0131985	0	7704
49	US	15-20	F	3	2	9.304908258	0	4362
50	US	15-20	F	4	4	23.0494399	0	2848
51	US	15-20	F	3	5	33.35990117	0	1855
52	US	15-20	F	1	2	0.008495103	0	3134
53	US	15-20	F	2	3	13.72025565	0	1774
54	US	15-20	F	1	3	0.743444139	0	6373
55	US	15-20	F	1	4	0.783473584	0	9727
56	US	15-20	F	3	4	15.09185498	0	2566
57	US	15-20	F	5	3	10.1667468	0	3580
58	US	15-20	F	1	2	1.572077127	0	2691
59	US	15-20	F	1	5	1.314983528	0	5519
